dish_id,bucket,bucket_reason,b_name_raw,b_name_norm,b_kcal,b_prot,b_fat,b_carb,b_weight_g,b_kbzhu_parse_ok,top1_okolo_id,top1_plu,top1_name,top1_name_score,top1_kbju_diff_pct,top1_weight_diff_g,top1_combined,top1_mutual,top2_okolo_id,top2_plu,top2_name,top2_combined,top3_okolo_id,top3_plu,top3_name,top3_combined
466,REVIEW,review_threshold,СПК Кофе РАФ лаванд.на соевом нап.,кофе раф лаванд на соевом нап,84.9,2.4,3.7,10.6,200,True,1800467,78035067,"Кофе Раф лавандовый на соевом напитке, 400мл",88,0.0,200,0.927,False,1800458,78034952,"Кофе Раф лавандовый на соевом напитке, 200мл",0.927,1800481,78034951,"Кофе Раф лавандовый на овсяном напитке, 400мл",0.884
474,REVIEW,review_threshold,СПК Кофе РАФ лаванд.на соевом нап.,кофе раф лаванд на соевом нап,84.9,2.4,3.7,10.6,400,True,1800467,78035067,"Кофе Раф лавандовый на соевом напитке, 400мл",88,0.0,0,0.927,False,1800458,78034952,"Кофе Раф лавандовый на соевом напитке, 200мл",0.927,1800481,78034951,"Кофе Раф лавандовый на овсяном напитке, 400мл",0.884
475,REVIEW,review_threshold,СПК Матча ЛАТТЕ,матча латте,69,2.7,3,7.8,200,True,2036169,78036409,"Матча латте пряная с овсяным напитком, 200мл",100,38.0,0,0.848,True,2035973,78036410,"Матча латте пряная  с овсяным напитком, 400мл",0.848,2037714,78036406,"Матча латте пряная с кокосовым напитком, 400мл",0.775
476,REVIEW,review_threshold,СПК Матча ЛАТТЕ,матча латте,69,2.7,3,7.8,400,True,2036169,78036409,"Матча латте пряная с овсяным напитком, 200мл",100,38.0,200,0.848,True,2035973,78036410,"Матча латте пряная  с овсяным напитком, 400мл",0.848,2037714,78036406,"Матча латте пряная с кокосовым напитком, 400мл",0.775
480,REVIEW,review_threshold,СПК Матча ЛАТТЕ с миндальным нап.,матча латте с миндальным нап,69,2.7,3,7.8,400,True,1800452,78035069,"Матча Латте, 400мл",100,0.0,0,1.000,False,1621413,78035068,"Матча Латте, 200мл",1.000,1590556,78034443,"Латте, 400мл",0.916
481,REVIEW,review_threshold,СПК Матча ЛАТТЕ с овсяным напитком,матча латте с овсяным напитком,69,2.7,3,7.8,200,True,1800452,78035069,"Матча Латте, 400мл",100,0.0,200,1.000,False,1800442,78035074,"Матча Латте с овсяным напитком, 200мл",1.000,2025500,78036742,"Латте, 400мл",0.896
482,REVIEW,review_threshold,СПК Матча ЛАТТЕ с овсяным напитком,матча латте с овсяным напитком,69,2.7,3,7.8,400,True,1800452,78035069,"Матча Латте, 400мл",100,0.0,0,1.000,False,1800442,78035074,"Матча Латте с овсяным напитком, 200мл",1.000,2025500,78036742,"Латте, 400мл",0.896
483,REVIEW,review_threshold,СПК Матча ЛАТТЕ с соевым напитком,матча латте с соевым напитком,69,2.7,3,7.8,200,True,1800463,78035077,"Матча Латте с соевым напитком, 400мл",100,0.0,200,1.000,True,1800456,78035076,"Матча Латте с соевым напитком, 200мл",1.000,2025500,78036742,"Латте, 400мл",0.896
487,REVIEW,review_threshold,СПК Матча-латте холодный с кок.нап.,матча латте холодный с кок нап,69,2.7,3,7.8,350,True,1800452,78035069,"Матча Латте, 400мл",100,0.0,50,1.000,False,1621413,78035068,"Матча Латте, 200мл",1.000,1625199,78035079,"Матча-латте холодный, 350мл",0.933
488,REVIEW,review_threshold,СПК Матча-латте холод.минд.нап.,матча латте холод минд нап,69,2.7,3,7.8,350,True,1800452,78035069,"Матча Латте, 400мл",100,0.0,50,1.000,False,1621413,78035068,"Матча Латте, 200мл",1.000,1590556,78034443,"Латте, 400мл",0.916
