dish_id,bucket,bucket_reason,b_name_raw,b_name_norm,b_kcal,b_prot,b_fat,b_carb,b_weight_g,b_kbzhu_parse_ok,top1_okolo_id,top1_plu,top1_name,top1_name_score,top1_kbju_diff_pct,top1_weight_diff_g,top1_combined,top1_mutual,top2_okolo_id,top2_plu,top2_name,top2_combined,top3_okolo_id,top3_plu,top3_name,top3_combined
314,EXTERNAL_BRAND,external_brand,28SEEDS Нап.Ч.ОМ-3 ЦИТ.тон.б/а н/г,нап ч ом 3 цит тон б а н г,45,1,1.5,6.5,250,True,1610516,4357276,"Напиток негазированный 28Seeds Чиа омега-3 цитрус тонизирующий безалкогольный, 250мл",45,0.0,0,0.668,True,1625205,78034898,"Айс Латте с овсяным напитком, 350мл",0.516,1800461,78034902,"Бейбичино Бабл Гам с овсяным напитком, 200мл",0.422
315,EXTERNAL_BRAND,external_brand,LEMONARDO Нап.ВИШН.КОЛА б/а с/сод.,нап вишн кола б а с сод,28,0,0,7,330,True,1625200,78034899,"Айс Латте с соевым напитком, 350мл",52,68.6,20,0.437,False,1800440,78034903,"Бейбичино Бабл Гам с соевым напитком, 200мл",0.414,2031113,4401207,"Запеканка творожная с вишней Перекрёсток Select, 200г",0.414
317,EXTERNAL_BRAND,external_brand,LEMONARDO Нап.ИМБИР.б/а с/сод.сл/г.,нап имбир б а с сод сл г,26,0,0,6.5,330,True,1800440,78034903,"Бейбичино Бабл Гам с соевым напитком, 200мл",50,79.3,130,0.383,False,1800449,78035066,"Бейбичино Бабл Гам с миндальным напитком, 200мл",0.364,2038893,4409321,"Свинина в соусе барбекю с рисом Перекрёсток Select, 240г",0.344
318,EXTERNAL_BRAND,external_brand,LEMONARDO Напит.БУЗ.б/а с/сод.сл/г.,напит буз б а с сод сл г,24,0,0,6,330,True,1625200,78034899,"Айс Латте с соевым напитком, 350мл",51,67.2,20,0.437,False,1800440,78034903,"Бейбичино Бабл Гам с соевым напитком, 200мл",0.416,1800463,78035077,"Матча Латте с соевым напитком, 400мл",0.406
621,EXTERNAL_BRAND,external_brand,PINCH&DROP Основа ПЮРЕ МАН.фр.д/с/к/д.,основа пюре ман фр д с к д,,,,,1,False,2114294,78037428,Основа Тыква 9г,57,,8,0.343,False,1433383,4192791,"Фишкейки с картофельным пюре и соусом тар-тар Перекрёсток Select, 280г",0.332,2114174,78037424,Основа Малина 9г,0.330
622,EXTERNAL_BRAND,external_brand,PINCH&DROP Осн.ПЮРЕ КАЛАМ.фр.д/с/к/д.,осн пюре калам фр д с к д,,,,,1,False,2044350,4419226,"Биточки мясные с картофельным пюре Перекрёсток Select, 300г",56,,299,0.337,False,2042777,4425837,"Пирог Осетинский с картофелем и сыром Перекрёсток Select, 200г",0.320,1433383,4192791,"Фишкейки с картофельным пюре и соусом тар-тар Перекрёсток Select, 280г",0.319
623,EXTERNAL_BRAND,external_brand,PINCH&DROP Основа ПЮРЕ ВИШ.фр.д/с/к/д.,основа пюре виш фр д с к д,,,,,1,False,2114294,78037428,Основа Тыква 9г,57,,8,0.343,False,2127128,78037558,Основа Тыква 25г,0.327,2114174,78037424,Основа Малина 9г,0.327
624,EXTERNAL_BRAND,external_brand,OSNOVAT.КПД GRAINY GLAZE вк.взр.зол.,кпд grainy glaze вк взр зол,,,,,100,False,1610488,4354935,"Батончик Raw To Go Шоколадные Палочки, 45г",38,,55,0.225,False,1610487,4354657,"Батончик Raw To Go Арахисовый шоколадный, 45г",0.215,1610484,4354658,"Батончик Raw To Go шоколадный кешью-вишня, 45г",0.212
625,EXTERNAL_BRAND,external_brand,OSNOVAT.КПД GRAINY GLAZE вк.взр.мал.,кпд grainy glaze вк взр мал,,,,,100,False,1848450,4388468,"Драже Tasty Story Кешью Малина, 40г",39,,60,0.232,False,1610486,4354937,"Пралине Raw To Go с арахисом, 45г",0.218,1610488,4354935,"Батончик Raw To Go Шоколадные Палочки, 45г",0.206
626,EXTERNAL_BRAND,external_brand,OSNOVAT.Нап.FITN.BAR ПРОТ.ОС.ПР.ДЕС.,нап fitn bar прот ос пр дес,,,,,500,False,1286129,3505646,"Набор для приготовления чая, 150мл",41,,350,0.244,False,2067026,78036419,"Чай латте пряный с овсяным напитком, 200мл",0.232,2012013,4388200,"Драже Tasty Story со вкусом пряника, 40г",0.232
627,EXTERNAL_BRAND,external_brand,OSNOVAT.КПД FOAMER ПЕНА вк.мин.сгущ.,кпд foamer пена вк мин сгущ,,,,,500,False,2119920,78037345,"Пирожное со вкусом пина колада, 70г",46,,430,0.274,False,2012013,4388200,"Драже Tasty Story со вкусом пряника, 40г",0.252,2039689,4420760,"Бризоль куриная с пенне и соусом Перекрёсток Select, 250г",0.244
628,EXTERNAL_BRAND,external_brand,OSNOVAT.КПД FOAMER ПЕНА вкус.ванили,кпд foamer пена вкус ванили,,,,,500,False,2012013,4388200,"Драже Tasty Story со вкусом пряника, 40г",45,,460,0.271,False,1624081,78034936,"Кофе Раф ванильный на кокосовом напитке, 200мл",0.255,1620295,78034937,"Кофе Раф ванильный на кокосовом напитке, 400мл",0.255
629,EXTERNAL_BRAND,external_brand,OSNOVAT.Какао-нап.CHOC.вк.м.ш.р.р.п.,какао нап choc вк м ш р р п,,,,,500,False,1846291,78036191,"Какао, 200мл",100,,300,0.600,True,1845758,78036192,"Какао, 400мл",0.600,1589322,78034446,Какао 200мл,0.375
630,EXTERNAL_BRAND,external_brand,OSNOVAT.Конц.BER.JAM вк.бер.з.в.н.с.,конц ber jam вк бер з в н с,,,,,500,False,1847431,78036006,"Онигири запеченный с беконом в соусе унаги, 160г",41,,340,0.243,False,2116477,78037439,"Изотоник зеленый виноград с березовым соком, 350мл",0.240,2120925,78037531,"Клаб Сэндвич двойной с курицей и беконом, 100г",0.233
631,EXTERNAL_BRAND,external_brand,OSNOVAT.Кон.MAT.LAT.вк.син.ан-ч.н.с.,кон mat lat вк син ан ч н с,,,,,500,False,1609621,4352869,"Смузи с манго и морковью Перекрёсток Select, 250мл",43,,250,0.259,False,2120247,78037348,"Чизкейк Сан-Себастьян с маком и лимоном, 100г",0.255,2120246,78037347,"Чизкейк Сан-Себастьян с малиной, 100г",0.248
632,EXTERNAL_BRAND,external_brand,OSNOVAT.Кон.CR.LAT.вк.тык.кр.нап.с.,кон cr lat вк тык кр нап с,,,,,500,False,2012013,4388200,"Драже Tasty Story со вкусом пряника, 40г",49,,460,0.295,False,1625211,78034896,"Айс Латте с кокосовым напитком, 350мл",0.279,1848447,4388469,"Яблоко Tasty Story с корицей вяленое, 25г",0.271
633,EXTERNAL_BRAND,external_brand,OSNOVAT.Конц.CR.LAT.вк.кр.кеш.б.н.с.,конц cr lat вк кр кеш б н с,,,,,500,False,1848447,4388469,"Яблоко Tasty Story с корицей вяленое, 25г",48,,475,0.286,False,2012013,4388200,"Драже Tasty Story со вкусом пряника, 40г",0.271,1610484,4354658,"Батончик Raw To Go шоколадный кешью-вишня, 45г",0.265
634,EXTERNAL_BRAND,external_brand,OSNOVAT.Конц.CR.LAT.вк.мал.нап.сух.,конц cr lat вк мал нап сух,,,,,500,False,2012013,4388200,"Драже Tasty Story со вкусом пряника, 40г",49,,460,0.295,False,1848450,4388468,"Драже Tasty Story Кешью Малина, 40г",0.279,2019104,78036193,"Какао на соевом напитке, 200мл",0.269
618,EXTERNAL_BRAND,external_brand,OSNOVAT.Смесь CHOC.КАКАО БЕЗ САХ.вк.,смесь choc какао без сах вк,,,,,500,False,1846291,78036191,"Какао, 200мл",100,,300,0.600,False,1845758,78036192,"Какао, 400мл",0.600,2114955,78037350,"Какао без сахара, 400мл",0.432
603,EXTERNAL_BRAND,external_brand,HERBAR.Сироп BOURBON VANILLA,сироп bourbon vanilla,,,,,0.7,False,1837327,78036016,Сироп для кофе 10г,43,,9,0.261,False,2012575,78036492,"Бейбичино с сиропом, 200мл",0.210,2012013,4388200,"Драже Tasty Story со вкусом пряника, 40г",0.171
610,EXTERNAL_BRAND,external_brand,HERBAR.Сироп LAVANDE DE LUMIERE,сироп lavande de lumiere,,,,,700,False,1837327,78036016,Сироп для кофе 10г,43,,690,0.261,False,2012575,78036492,"Бейбичино с сиропом, 200мл",0.195,1836657,4386335,"Вафли Hanuta Haselnuss, 44г",0.183
611,EXTERNAL_BRAND,external_brand,ND PRIME Шоколад BACHENMIX горяч.тем.,шоколад bachenmix горяч тем,,,,,1,False,2009121,78036474,"Торт Шоколадно-Миндальный, 90г",46,,89,0.277,False,1840734,78036091,"Пирог Чизкейк Шоколадный Микс сырный, 120г",0.248,2120980,78036827,Пирог Чизкейк Шоколадный сырный 100г,0.248
615,EXTERNAL_BRAND,external_brand,HERBAR.Сироп THE NUTCRACKER,сироп the nutcracker,,,,,700,False,1837327,78036016,Сироп для кофе 10г,43,,690,0.261,False,1836657,4386335,"Вафли Hanuta Haselnuss, 44г",0.257,2012575,78036492,"Бейбичино с сиропом, 200мл",0.215
616,EXTERNAL_BRAND,external_brand,HERBAR.Сироп GINGERBREAD,сироп gingerbread,,,,,700,False,1837327,78036016,Сироп для кофе 10г,45,,690,0.273,False,2012575,78036492,"Бейбичино с сиропом, 200мл",0.200,1610486,4354937,"Пралине Raw To Go с арахисом, 45г",0.187
